rank,theme_id,name,kind,score,c_reach,c_revenue,c_severity,c_momentum,mentions,mentions_all_time,accounts,mrr_weighted,arr_exposed,mean_sentiment,negative_share,status,lift,q_value,vote_rank,headline
1.0,T01,The mobile app takes forever to load,bug,60.00879917231421,1.0,0.5190483974044661,0.8421052631578947,0.0,190,534,162,9289.861255411255,526788.0,-0.5399988889873262,0.8421052631578947,stable,0.9585932679783369,1.0,1.0,The mobile app takes forever to load
2.0,T11,The new recurring event editor will not let me set custom…,bug,57.527956845366425,0.49065338146265813,0.37149547160931806,0.7560975609756098,0.8568664791480819,41,84,39,4758.834126984127,301224.0,-0.37452080127704723,0.7560975609756098,emerging,3.2800844475721322,0.0003705467332431676,9.0,The new recurring event editor will not let me set custom repeats
3.0,T04,Calendar sync is completely unreliable again,bug,52.67002550036564,0.5665577237325317,0.6741997570846127,0.7454545454545455,0.0,55,302,52,15673.67012987013,807492.0,-0.40875454581886606,0.7454545454545455,declining,0.38529990587832635,2.247916065406277e-06,6.0,Calendar sync is completely unreliable again
4.0,T05,Meeting times are wrong when attendees are in different…,bug,51.50229608063282,0.6236095644623235,0.6750383623817268,0.6142857142857143,0.0,70,218,63,15712.685858585859,600840.0,-0.2750067146506296,0.6142857142857143,stable,0.8446017166089445,0.9216016527263995,5.0,Meeting times are wrong when attendees are in different time zones
5.0,T03,We would love to schedule meetings directly from Slack,feature_request,50.1156962689437,0.8534606386520676,0.7792977401184505,0.07518796992481203,0.0,133,386,118,20941.14155844156,1058256.0,0.3066761874885801,0.07518796992481203,stable,0.7712494402149573,0.7045655318370314,3.0,We would love to schedule meetings directly from Slack
6.0,T06,"Way too many email notifications, I am drowning in reminders",ux,48.6907287142582,0.6712803318663652,0.5432566735855374,0.6447368421052632,0.0,76,187,73,10176.622366522366,603528.0,-0.3110820527224674,0.6447368421052632,stable,1.0569059732428867,1.0,4.0,"Way too many email notifications, I am drowning in reminders"
7.0,T10,"IT wants to manage access through OneLogin, is SSO on the…",feature_request,48.14042020962219,0.40061680838488767,1.0,0.15625,0.0,32,93,26,34482.08506493506,1596660.0,0.13858227864199785,0.15625,stable,0.9080459770114941,1.0,10.0,"IT wants to manage access through OneLogin, is SSO on the roadmap"
8.0,T08,Paying per seat makes no sense for occasional users,pricing,42.94372649431423,0.5211573066470477,0.3826587056486642,0.8260869565217391,0.0,46,126,44,5049.131890331891,364968.0,-0.41418654168896724,0.8260869565217391,stable,1.1614541566426089,0.9905361858756434,8.0,Paying per seat makes no sense for occasional users
9.0,T07,Hard to justify the cost to my manager after the price…,pricing,42.375148916881614,0.5270462766947299,0.38607764256312693,0.7843137254901961,0.0,51,148,45,5139.759812409812,296472.0,-0.4720040644399879,0.7843137254901961,stable,0.7004926108374383,0.8139758503470507,7.0,Hard to justify the cost to my manager after the price increase
10.0,T24,"Offboarding users by hand is a compliance risk, we need SCIM",feature_request,39.96751146757778,0.2222222222222222,0.6657384228831746,0.5555555555555556,0.0,9,18,8,15282.72380952381,780876.0,-0.15573454924429322,0.5555555555555556,stable,0.5922038980509745,0.9905361858756434,18.0,"Offboarding users by hand is a compliance risk, we need SCIM"
11.0,T02,Please add a dark mode,feature_request,38.021939818044956,0.9622504486493763,0.3126406510816304,0.1511627906976744,0.0,172,494,150,3370.423015873016,131064.0,0.16741308173689778,0.1511627906976744,stable,1.020796696995183,1.0,2.0,Please add a dark mode
12.0,T17,The Pro plan now costs more than tools that do much more,pricing,35.9398438198809,0.3928371006591931,0.492286497557491,0.4444444444444444,0.0,27,66,25,8356.595238095237,496920.0,-0.20513946142836256,0.4444444444444444,stable,0.6892397174906522,0.9008620496532804,11.0,The Pro plan now costs more than tools that do much more
13.0,T15,Onboarding is confusing for anyone who is not technical,ux,32.20916391317365,0.3600411499115478,0.1188718890790259,0.9523809523809523,0.0,21,68,21,487.25,24624.0,-0.5339570901015233,0.9523809523809523,stable,1.4570970328789092,0.9008620496532804,13.0,Onboarding is confusing for anyone who is not technical
14.0,T23,I cannot turn off the daily digest emails,ux,29.018496828414463,0.2939723678960656,0.12932372823301935,0.8571428571428571,0.0,14,33,14,576.7,26832.0,-0.4935118582187026,0.8571428571428571,stable,0.809878844361603,1.0,17.0,I cannot turn off the daily digest emails
15.0,T09,The setup wizard skipped steps and left my workspace half…,ux,28.27930872467281,0.3928371006591931,0.16166803451979941,0.64,0.0,25,101,25,901.2428571428571,23676.0,-0.2657942232517873,0.64,stable,0.6901149425287356,0.9008620496532804,12.0,The setup wizard skipped steps and left my workspace half configured
